"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-02-12 - 2015-02-12","1457128","0.00934430985302788","11186027","0.07173405652237545","38022408","0.24383112651067448","100272651","0.6430311686609042","4999252","0.03205933845301808"
"2015-02-13 - 2015-02-13","1408507","0.009549849260260217","10744217","0.07284710176770526","35894547","0.2433694068366899","94537015","0.6409724926925879","4905686","0.03326114944275669"
"2015-02-14 - 2015-02-14","1010624","0.008655368604261861","8740009","0.07485276373761766","28534617","0.24438132096253087","74393643","0.6371354746956981","4083783","0.03497507199989147"
"2015-02-15 - 2015-02-15","1117976","0.00854648211485237","9665589","0.07388958574961699","31973649","0.2444258368024603","83578091","0.6389212826795958","4475944","0.034216812653474475"
"2015-02-16 - 2015-02-16","1420323","0.008549004713156163","11911299","0.07169478441932736","40375991","0.2430253803940025","107105161","0.6446720402277157","5326215","0.03205879024579835"
"2015-02-17 - 2015-02-17","1500093","0.00926465592988024","11634349","0.07185437199770031","39545510","0.2442352198974586","104065306","0.6427129880132111","5170415","0.0319327641617498"
"2015-02-18 - 2015-02-18","1494846","0.009398016293714858","11477145","0.07215619248760609","38635403","0.2428986978646897","102376758","0.6436371638160071","5075585","0.03190992953798232"
"2015-02-19 - 2015-02-19","1477590","0.009327322531022206","11439259","0.07221059848056534","38576653","0.24351605296349146","101844709","0.642897183197707","5077025","0.032048842827213916"
"2015-02-20 - 2015-02-20","1333759","0.009424143796081544","10372473","0.07329035985734553","34655157","0.24486821295585026","90395461","0.6387209555677459","4768898","0.033696327822976775"
"2015-02-21 - 2015-02-21","983527","0.008652646520738341","8570644","0.07540083087407559","28099159","0.2472042865696859","71956541","0.6330426252944921","4057895","0.03569961074100814"
"2015-02-22 - 2015-02-22","1009448","0.008585508680468703","8876522","0.0754961688797951","29046309","0.2470432732097901","74502517","0.6336552317903122","4140998","0.03521981743963388"
"2015-02-23 - 2015-02-23","1075722","0.008385705829687078","9532614","0.0743107390124555","31784578","0.24777416565687382","81623875","0.6362924662962636","4263647","0.033236923204720006"
"2015-02-24 - 2015-02-24","1540210","0.009535671827025647","11539358","0.07144190141770473","39403774","0.24395469293816144","103930235","0.6434477206781248","5107292","0.0316200131389833"
"2015-02-25 - 2015-02-25","1490978","0.009452267203801736","11214830","0.07109801070519607","38542740","0.24434718503335215","101447676","0.6431419784575658","5041382","0.031960558600084246"
"2015-02-26 - 2015-02-26","1457659","0.009422189881942076","11055036","0.0714588585833212","38166951","0.2467080843577126","99113091","0.6406590040525283","4912169","0.03175186312449587"
"2015-02-27 - 2015-02-27","1372962","0.009542642540947567","10453239","0.07265424911402661","36161798","0.25133915720315103","91162357","0.6336153411684002","4726143","0.032848609973474545"
"2015-02-28 - 2015-02-28","1025108","0.00849397588664327","8940686","0.07408192238676224","30535638","0.2530162410743726","75925251","0.629111519158311","4259791","0.03529634149391091"
"2015-03-01 - 2015-03-01","1086206","0.008356430584010028","9462929","0.07280047183491477","32878035","0.2529382246241985","82153897","0.6320286736460761","4403379","0.03387619931080062"
"2015-03-02 - 2015-03-02","1474386","0.009194090757587427","11274116","0.07030400839099701","40228205","0.25085816589741916","102251667","0.6376288885764021","5133976","0.03201484637759424"
"2015-03-03 - 2015-03-03","1457999","0.009232272854097119","11158648","0.07065826726823894","39633167","0.25096328036987525","100519006","0.6365017331387919","5155347","0.032644446368996834"
"2015-03-04 - 2015-03-04","1415537","0.009150903314386708","10980204","0.07098280382373769","38766767","0.25061226702541667","98453798","0.6364660100245768","5071920","0.032788015811882155"
"2015-03-05 - 2015-03-05","1376976","0.009248777551577677","10623443","0.07135481020647057","37436141","0.2514484932914566","94462561","0.6344796232042803","4982825","0.033468295746214925"
"2015-03-06 - 2015-03-06","1200123","0.00922407664292963","9434360","0.07251195062255252","33125279","0.2545989971981434","81788763","0.6286237481011591","4559132","0.03504122743521544"
"2015-03-07 - 2015-03-07","922102","0.008487366130521435","8199697","0.07547302857855012","27756442","0.2554805062071036","67789753","0.6239618324313513","3976076","0.03659726665247353"
"2015-03-08 - 2015-03-08","914795","0.008443577478784565","8213508","0.0758108550774948","27516935","0.25398190048172403","67855825","0.6263107207345325","3841047","0.035452946227464095"
"2015-03-09 - 2015-03-09","1055480","0.008290428082303682","9446339","0.07419770542365604","32501797","0.2552903044815","80059974","0.628843234090748","4249498","0.0333783279217923"
"2015-03-10 - 2015-03-10","1479299","0.009372369325479697","11269034","0.07139702561104129","39712138","0.25160351223141275","100396717","0.6360817595291188","4978995","0.0315453333029474"
"2015-03-11 - 2015-03-11","1432608","0.00926689172508643","11066060","0.07158132569642912","38904395","0.25165489519463374","98310850","0.635928322577574","4880318","0.031568564806276636"
"2015-03-12 - 2015-03-12","1429667","0.009103571559949007","11212158","0.07139472527130776","39291100","0.25019066714074845","100137068","0.6376344731615683","4974634","0.0316765628664265"
"2015-03-13 - 2015-03-13","1348603","0.009264089653986472","10535406","0.07237188833566809","36370327","0.2498422219680698","92507206","0.6354687406329329","4811639","0.033053059409342715"
"2015-03-14 - 2015-03-14","981492","0.00848459307659342","8663977","0.07489650376158402","29214801","0.25254989169412945","72867413","0.6299086980322542","3951642","0.03416031343543888"
"2015-03-15 - 2015-03-15","1065252","0.008183589357882944","9713545","0.07462240248252722","32993469","0.2534658482575398","82188739","0.631398851931955","4208283","0.03232930797009507"
"2015-03-16 - 2015-03-16","1480784","0.009183591478477703","11565259","0.0717259330184467","40434791","0.25077026903425953","102806870","0.6375921776984118","4954660","0.03072802877040428"
"2015-03-17 - 2015-03-17","1453620","0.009166228419231565","11408201","0.07193776655419296","39612436","0.24978786520424287","101237199","0.6383809321261412","4872853","0.03072720769619143"
"2015-03-18 - 2015-03-18","1392352","0.009064723209121597","11021697","0.07175529794176033","38501612","0.25065964345581765","97938880","0.6376181013216307","4746619","0.030902234071669768"
"2015-03-19 - 2015-03-19","1423822","0.0093567121875707","10888873","0.07155673301017229","38152606","0.2507216165698964","97010966","0.6375120541052229","4694920","0.030852884127137683"
"2015-03-20 - 2015-03-20","1347096","0.00934183527240733","10502887","0.07283537345423668","36301305","0.25174212638402654","91491706","0.634476270617329","4557365","0.03160439427200039"
"2015-03-21 - 2015-03-21","990231","0.008543968450395338","8691030","0.07498844827261457","29253391","0.2524058020513183","72998805","0.6298525160660103","3964794","0.03420926515966147"
"2015-03-22 - 2015-03-22","1079431","0.008327064300107974","9564929","0.07378681806337549","32777561","0.2528562344862353","81976138","0.6323892608240126","4231179","0.03264062232626871"
"2015-03-23 - 2015-03-23","1501692","0.009192556703661012","11777315","0.07209443478048588","41015245","0.25107343275255434","103746894","0.6350830968825222","5318412","0.0325564788807766"
"2015-03-24 - 2015-03-24","1464607","0.00921628378296021","11543769","0.07264109145247756","39992835","0.2516615833770448","100775553","0.6341469724183669","5138373","0.032334068969150496"
"2015-03-25 - 2015-03-25","1421868","0.009285164125516015","11075434","0.07232543558988622","38754459","0.25307659530320764","96900717","0.6327866308441993","4980841","0.032526174137190875"
"2015-03-26 - 2015-03-26","1396731","0.009178816576413154","10931295","0.07183656104694622","38148823","0.25070042042673313","96730247","0.6356765866900204","4961867","0.03260761525988713"
